Original,Edited,Title,Genre,Author,URL,"Data
usable"
,"Thương nhớ ơ hờ, thương nhớ ai?
Sông xa từng lớp lớp mưa dài
Mắt kia em có sầu cô quạnh
Khi chớm heo về một sớm mai?
Rét mướt mùa sau chừng sắp ngự
Bên này em có nhớ bên kia
Giăng giăng mưa bụi quanh phòng tuyến
Hiu hắt chiều sông lạnh bến Tề
Khói thuốc xanh dòng khơi lối xưa
Đêm đêm sông Đáy lạnh đôi bờ
Thoáng hiện em về trong đáy cốc
Nói cười như chuyện một đêm mơ
Xa quá rồi em người mỗi ngã
Bên này đất nước nhớ thương nhau
Em đi áo mỏng buông hờn tủi
Dòng lệ thơ ngây có dạt dào ?",Đôi bờ,Bảy chữ,Quang Dũng,https://poem.tkaraoke.com/10000/.html,334.0
"Em tan trường về
Ðường mưa nho nhỏ
Chim non dấu mỏ
Dưới cội hoa vàng
Bước em thênh thang
Áo tà nguyệt bạch
Ôm nghiêng cặp sách
Vai nhỏ tóc dài
Anh đi theo hoài
Gót giày thầm lặng
Ðường chiều uá nắng
Mưa nhẹ bâng khuâng
Em tan trường về
Cuối đường mây tỏ
Anh tìm theo Ngọ
Dáng lau lách buồn
Tay nụ hoa thuôn
Vương bờ tóc suối
Tìm lời mở nói
Lòng sao ngập ngừng
Lòng sao rưng rưng
Như trời mây ngợp
Hôm sau vào lớp
Nhìn em ngại ngần
Em tan trường về
Ðường mưa nho nhỏ
Trao vội chùm hoa
Ép vào cuối vở
Thương ơi vạn thuở
Biết nói chi nguôi
Em mỉm môi cười
Anh mang nỗi nhớ
Hè sang phượng nở
Mà chẳng gặp nhau
Ôi mối tình đầu
Như đi trên cát
Bước nhẹ mà sâu
Mà cũng nhòa mau
Tưởng đã phai màu
Đường chiều hoa cỏ
Mười năm rồi Ngọ
Tình cờ qua đây
Cây xưa vẫn gầy
Phơi nghiêng dáng đỏ
Áo em ngày nọ
Phai nhạt mấy màu
Chân theo tìm nhau
Còn là vang vọng
Ðời như biển động
Xóa dấu ngày qua
Tay ngắt chùm hoa
Mà thương mà nhớ
Phố ơi muôn thuở
Giữ vết chân tình
Tìm xưa quẩn quanh
Ai mang bụi đỏ
Dáng em nho nhỏ
Trong cõi xa vời
Tình ơi! tình ơi!","Em tan trường về
Ðường mưa nho nhỏ
Chim non dấu mỏ
Dưới cội hoa vàng
Bước em thênh thang
Áo tà nguyệt bạch
Ôm nghiêng cặp sách
Vai nhỏ tóc dài
Anh đi theo hoài
Gót giày thầm lặng
Ðường chiều uá nắng
Mưa nhẹ bâng khuâng
Em tan trường về
Cuối đường mây tỏ
Anh tìm theo Ngọ
Dáng lau lách buồn
Tay nụ hoa thuôn
Vương bờ tóc suối
Tìm lời mở nói
Lòng sao ngập ngừng
Lòng sao rưng rưng
Như trời mây ngợp
Hôm sau vào lớp
Nhìn em ngại ngần
Em tan trường về
Ðường mưa nho nhỏ
Trao vội chùm hoa
Ép vào cuối vở
Thương ơi vạn thuở
Biết nói chi nguôi
Em mỉm môi cười
Anh mang nỗi nhớ
Hè sang phượng nở
Mà chẳng gặp nhau
Ôi mối tình đầu
Như đi trên cát
Bước nhẹ mà sâu
Mà cũng nhòa mau
Tưởng đã phai màu
Đường chiều hoa cỏ
Mười năm rồi Ngọ
Tình cờ qua đây
Cây xưa vẫn gầy
Phơi nghiêng dáng đỏ
Áo em ngày nọ
Phai nhạt mấy màu
Chân theo tìm nhau
Còn là vang vọng
Ðời như biển động
Xóa dấu ngày qua
Tay ngắt chùm hoa
Mà thương mà nhớ
Phố ơi muôn thuở
Giữ vết chân tình
Tìm xưa quẩn quanh
Ai mang bụi đỏ
Dáng em nho nhỏ
Trong cõi xa vời
Tình ơi! tình ơi!",ngày xưa hoàng thị,Bốn chữ,Phạm Thiên Thư,https://poem.tkaraoke.com/10001/.html,
"Nắng chia giữa bãi, chiều trôi...
Vườn hoa trinh nữ xếp đôi lá sầu.
Sợi buồn con nhện quăng mau;
Em ơi ! Hãy tỉnh... anh hầu ngủ đây.
Lòng anh khép với quạt này;
Trăm con chim gãy cánh bay ngang giường.
Ngủ đi em, mộng bình thường!
Ru em lạc tiếng dương thùy vài nơi...
Cây dài bóng ngả rối bời...
Hồn em có chín một đời chia phôi?
Tay anh em hãy buông rơi,
Cho anh nghe nhẹ trái đời vỡ tan...","Nắng chia nửa bãi; chiều rồi...
Vườn hoang trinh nữ xếp đôi lá rầu.
Sợi buồn con nhện giăng mau;
Em ơi! Hãy ngủ... anh hầu quạt đây.
Lòng anh mở với quạt này;
Trăm con chim mộng về bay đầu giường.
Ngủ đi em, mộng bình thường!
Ru em sẵn tiếng thùy dương mấy bờ...
Cây dài bóng xế ngẩn ngơ...
- Hồn em đã chín mấy mùa thương đau?
Tay anh em hãy tựa đầu,
Cho anh nghe nặng trái sầu rụng rơi...",Ngậm ngùi,Lục bát,Huy Cận,https://poem.tkaraoke.com/10003/.html,
"Trời đẹp như trời mới tráng gương,
Chim ca, tiếng sáng rộn ven biển.
Có ai bên cửa, ngồi hong tóc
Cho chẩy lan thành một suối hương...

Sắc biếc giao nhau, cành bắt cành,
Nước trong, hồ ngợp thủy tinh mắt,
Chim bay cánh chĩu trong xuân ý,
Em đợi chờ ai, khuất bức mành ?

Giữa một giờ thiêng, tình rất đẹp,
Rất buồn và rất... rất thanh thanh
Mày ai bán nguyệt, người ai nhỏ,
Em ạ! yêu nhau... chết cũng đành !","Trời đẹp như trời mới tráng gương,
Chim ca, tiếng sáng rộn ven tường.
Có ai bên cửa, ngồi hong tóc
Cho chẩy lan thành một suối hương...

Sắc biếc giao nhau, cành bắt cành,
Nước trong, hồ ngợp thủy tinh xanh,
Chim bay cánh chĩu trong xuân ý,
Em đợi chờ ai, khuất bức mành?

Giữa một giờ thiêng, tình rất đẹp,
Rất buồn và rất... rất thanh thanh
Mày ai bán nguyệt, người ai nhỏ,
Em ạ! yêu nhau... chết cũng đành!",xuân ý,Bảy chữ,Hồ Dzếnh,https://poem.tkaraoke.com/10004/.html,
"Từ gió xuân đi gió hạ sang
Anh thương thầm nhớ bóng ai ngang
Bên em, mỗi lúc trên đường vắng
Hóng gió cho lòng chút nhẹ nhàng!

Em có ngờ đâu những tối rằm
Trăng vàng trải ánh, sóng lặng câm
Anh đi chầm chậm như mê ngủ
Hứng lấy hương thầm trong tóc em

Bên khóm thùy dương em nghiêng nghiêng
Bên này bờ liễu anh ngóng nghiêng
Say lòng ai buộc mùi hương thoảng
Thương cái mắt huyền chẳng dám tin

Ngày ấy xuân về em lớn lên
Thấy anh em lại cất lặng im
Nhưng mà năm tháng trôi đi mãi
Anh cứ ôm hoài một bóng đêm","Từ gió xuân đi gió hạ về
Anh thường gởi gắm mối tình quê
Bên em, mỗi lúc trên đường cái
Hóng mát cho lòng được thoả thuê!

Em có ngờ đâu trong những đêm
Trăng ngà giãi bóng, mặt hồ êm
Anh đi thơ thẩn như ngây dại
Hứng lấy hương nồng trong áo em

Bên khóm thùy dương em thướt tha
Bên này bờ liễu anh trông qua
Say mơ vướng phải mùi hương ướp
Yêu cái môi hường chẳng nói ra

Độ ấy xuân về em lớn lên
Thấy anh em đã biết làm duyên
Nhưng thời gian vẫn trôi đi mãi
Yêu dấu lòng anh ôm hận riêng ",Âm thầm,Bảy chữ,Hàn Mặc Tử,https://poem.tkaraoke.com/10005/.html,
"Trăng nằm sóng xô trên cành liễu
Đợi gió đông về để lả lơi
Hoa lá ngây tình không muốn động
Lòng em hồi hộp, chị Hằng ơi.

Trong khóm vi vu rào rạt mãi
Tiếng lòng ai nói? Sao im đi?
Ô kìa, bóng nguyệt trần truồng tắm
Lộ cái khuôn vàng dưới đáy khe.

Vô tình để gió hôn lên má
Bẽn lẽn làm sao lúc nửa hôm
Em sợ lang quân em biết được
Nghi ngờ tới cái tiết trinh em.","Trăng nằm sóng soải trên cành liễu
Đợi gió đông về để lả lơi
Hoa lá ngây tình không muốn động
Lòng em hồi hộp, chị Hằng ơi.

Trong khóm vi vu rào rạt mãi
Tiếng lòng ai nói? Sao im đi?
Ô kìa, bóng nguyệt trần truồng tắm
Lộ cái khuôn vàng dưới đáy khe.

Vô tình để gió hôn lên má
Bẽn lẽn làm sao lúc nửa đêm
Em sợ lang quân em biết được
Nghi ngờ tới cái tiết trinh em.",bẽn lẽn,Bảy chữ,Hàn Mặc Tử,https://poem.tkaraoke.com/10006/.html,
"Rào rào gió thổi xa phương lại
Buồn đâu say ngấm áo ai bay
Lay bay hát vọng, ơ buồn lạ
E buồn mộng tưởng đến đêm dài.

Nắng sao như lửa ngày xưa ấy
Nắng vàng mắt thấy duyên xa đâu
Muốn gởi thương người bên cổ độ
Mà sao chẳng thể nói thành câu.

Chiều xưa nhạc cũ nóng ran lên
Không ai đi để lỗi con thuyền
Nguồn thơ mãi ứa tràn đôi mắt
Tờ giấy hoa tiên cũng nhoè tên.","Rao rao gió thổi phương xa lại
Buồn đâu say ngấm áo xuân ai
Lay bay lời hát, ơ buồn lạ
E buồn trong mộng có đêm nay.

Nắng sao như nắng đời xưa ấy
Nắng vàng con mắt thấy duyên đâu
Muốn gởi thương về người cổ độ
Mà sao tình chẳng nói cho đau.

Chiều xưa khúc nhạc nóng ran lên
Không có ai đi để lỗi thuyền
Nguồn thơ ứa mãi hai hàng lệ
Tờ giấy hoa tiên cũng ướt mèm.",Buồn ở đây,Bảy chữ,Hàn Mặc Tử,https://poem.tkaraoke.com/10007/.html,
"Ấp úng đéo ra được nửa lời,
Tình thu bi sầu lắm thu ơi!
Vội vàng cánh nhạn bay đi trớt.
Hiu hắt hơi may thoảng lại rồi...
Nằm gắng đã không thành mộng được,
Ngâm tràn cho đỡ lúc buồn thôi.
Ngàn trùng bóng liễu trông xanh ngắt,
Cảnh sắp về đông mắt đã vơi.","Ấp úng không ra được nửa lời,
Tình thu bi thiết lắm thu ơi!
Vội vàng cánh nhạn bay đi trớt.
Hiu hắt hơi may thoảng lại rồi...
Nằm gắng đã không thành mộng được,
Ngâm tràn cho đỡ lúc buồn thôi.
Ngàn trùng bóng liễu trông xanh ngắt,
Cảnh sắp về đông mắt đã vơi.",buồn thu,Thất ngôn bát cú Đường Luật,Hàn Mặc Tử,https://poem.tkaraoke.com/10008/.html,
"Sao anh không về chơi thôn Vĩ?
Nhìn nắng hàng cau nắng mới lên.
Vườn ai mướt quá xanh như ngọc
Lá trúc che ngang mặt chữ tài.

Gió theo lối gió, mây đường mây,
Dòng nước buồn thiu, hoa lay bắp...
Thuyền ai đậu bến sông Trăng đó,
Có chở trăng về kịp tối nay?

Mơ khách đường xa, khách đường xa
Áo em trắng quá nhìn không ra...
Ở đây sương khói mờ nhân ảnh
Ai biết tình ai có đậm đà?","Sao anh không về chơi thôn Vĩ?
Nhìn nắng hàng cau nắng mới lên.
Vườn ai mướt quá xanh như ngọc
Lá trúc che ngang mặt chữ điền.

Gió theo lối gió, mây đường mây,
Dòng nước buồn thiu, hoa bắp lay...
Thuyền ai đậu bến sông Trăng đó,
Có chở trăng về kịp tối nay?

Mơ khách đường xa, khách đường xa
Áo em trắng quá nhìn không ra...
Ở đây sương khói mờ nhân ảnh
Ai biết tình ai có đậm đà?",đây thôn vĩ dạ,Bảy chữ,Hàn Mặc Tử,https://poem.tkaraoke.com/10010/.html,
"Mới lớn lên trăng đã hững hờ
Thơm như tình ái của sư cô
Gió say lướt thướt trong đêm sáng
Hoa với tôi nào cảm xúc mơ.

Đang khi mầu nhiệm tỏa ban đêm
Có thứ gì rơi giữa khoảng êm
Rơi từ thượng tầng không trung xuống
Tiếng vang lạc nhịp giữa màn tim.

Tôi với hồn hoa cứ lặng im
Lòng như lạnh giá bởi ân tình
Để thêm rời rạc dòng tơ tưởng
Bóng tối trời khuya cứ giật mình.

Từ đầu canh một đến canh ba
Tôi thấy trăng trôi hóa rất nhòa
Như khói mịt mờ ngoài giấc mộng
Lặng lẽ mỗi phút mỗi phôi pha.

Ánh trăng nhạt quá che đâu nổi
Những nét lờ mờ giữa đáy hồ
Những nét hoang mang tơ liễu rủ
Những lời tha thiết của sương mơ.

Không gian dày đặc toàn sương cả
Tôi cũng mơ mà nàng cũng xa
Mỗi ảnh mỗi hình càng lu mờ
Nàng xa tôi quá, tiếng phai nhòa?","Mới lớn lên trăng đã thẹn thò
Thơm như tình ái của ni cô
Gió say lướt mướt trong màu sáng
Hoa với tôi đều cảm động sơ.

Đang khi mầu nhiệm phủ ban đêm
Có thứ gì rơi giữa khoảng im
Rơi tự thượng tầng không khí xuống
Tiếng vang nhè nhẹ dội vào tim.

Tôi với hồn hoa vẫn nín thinh
Ngấm ngầm trao đổi những ân tình
Để thêm ấm áp nguồn tơ tưởng
Để bóng trời khuya bớt giật mình.

Từ đầu canh một đến canh tư
Tôi thấy trăng mơ biến hóa như
Hương khói ở đâu ngoài xứ mộng
Cứ là mỗi phút mỗi nên thơ.

Ánh trăng mỏng quá không che nổi
Những vẻ xanh xao của mặt hồ
Những nét buồn buồn tơ liễu rủ
Những lời năn nỉ của hư vô.

Không gian dầy đặc toàn trăng cả
Tôi cũng trăng mà nàng cũng trăng
Mỗi ảnh mỗi hình thêm phiếu diễu
Nàng xa tôi quá nói nghe chăng?",Huyền ảo,Bảy chữ,Hàn Mặc Tử,https://poem.tkaraoke.com/10011/.html,
