Original,Edited,Title,Genre,Author,URL
,"Em về nắng ở chung quanh
Tay che vành nón chòng chành đời nhau
Nơi có dòng sông bắt đầu
Em đứng soi bóng trên cầu gió bay.

Hay tại ngọn tóc em dài
Cuốn tôi lơ lửng trên vai lụa trần
Nhịp cầu như thể không chân
Mà em cũng đã một lần bước qua.

Còn thương vạt áo lụa là
Vì ai nắng đã phôi pha dáng chiều
Hồn tôi như đám rong rêu
Bám vào là đã tiêu điều đời em.

Thì dẫu nắng có vàng thêm
Em cũng lẩn thẩn buồn riêng bóng mình
Vì trên mặt nước lung linh
Cầu cao như đã bạc tình dòng sông…",Bóng nắng,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/B%C3%B3ng-n%E1%BA%AFng/poem-PK1PuZpIsEQfOufQHmwg2g
,"Chẳng hiểu vì sao mà em đến
Tận cõi trần ai để yêu tôi
Dù chỉ như thoáng mưa giông tới
Thì cũng nợ nhau một kiếp người.

Vì em muôn đời là chiếc bóng
Đến rồi đi rất đỗi tình cờ
Bỏ tôi ở lại chờ bụi bám
Cỏ mọc xanh rì quanh giấc mơ.

Chẳng hiểu vì sao tôi còn nhớ
Có người tình cũ cả trăm năm
Để tôi chạy riết vào quá khứ
Cõng em qua những lối thăng trầm.

Trên vai tôi hơi người còn ấm
Một thuở em về tựa khói bay
Hồn như chiếc lá co quắp lại
Cùng em hối hả tượng hình hài…",Chẳng hiểu vì sao,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Ch%E1%BA%B3ng-hi%E1%BB%83u-v%C3%AC-sao/poem-AdNW64faicbcHKCfwfzoZQ
,"Chỉ còn lại chút hương xưa
Dáng em như chuyến đò đưa ngược dòng
Hồn tôi tựa một khúc sông
Để em lướt tới cho chồng chềnh nhau.

Đã không có điểm bắt đầu
Thì em đâu biết nỗi đau muộn màng
Mà tôi lủi thủi riêng mang
Chút tình ở lại cho tàn bóng không.

Đò em đưa nắng qua sông
Chở trăm năm một nỗi lòng người dưng
Nhịp tim lỡ có ngập ngừng
Cũng là khoảnh khắc lừng khừng, rồi thôi!

Chỉ còn lại một chút tôi
Như mây buổi sáng đang rời rã nhau
Thì nắng chiếu phía bên nào
Em cũng đâu thấy lối vào hư vô…",Chỉ còn...,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Ch%E1%BB%89-c%C3%B2n/poem-17auhVjhwM48sUxkyEJyxw
,"Gặp lại chút nắng An Xuyên
Tựa mây bay thấp còn triền miên nhau
Bóng em như vạt lụa đào
Phất phơ dáng tóc bên rào dậu thưa.

Tôi về tìm lại tôi xưa
Thuở em mười sáu mới vừa dậy hương
Vòng vo quanh những con đường
Hồn tôi như chiếc lá tương tư chiều.

Đề Thám góc phố thân yêu
Lối quen mà đã khập khều bước chân
Vì tôi cũng có đôi lần
Nhìn em cúi xuống thật gần dung nhan.

Vụt nghe nhịp thở nồng nàn
Từ em tơ mỏng lụa trần mong manh
Mà tôi như gã lữ hành
Bước theo chiếc bóng chòng chành xưa em…",Chiều nắng An Xuyên,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Chi%E1%BB%81u-n%E1%BA%AFng-An-Xuy%C3%AAn/poem-TJ426wWfk_Wt0GKrxNxAKw
,"Chợt nghe biển gọi tôi về
Tựa mây bay thấp rủ rê giấc chiều
Tiếng em từ cõi quạnh hiu
Nương theo ngọn sóng phập phều rồi tan.

Cuốn xô lớp lớp dã tràng
Hồn tôi ở trọ riêng mang kiếp người
Em như chiếc lá còn tươi
Lướt qua nhúm cát lở bồi dấu chân.

Biển xa con nước bạc phần
Núi cao chạm gót chân trần còn đau
Em dựa xuống phía bên nào
Cho vai tôi biết lao đao mỏi mòn!

Bây giờ cách mấy đại dương
Hồn Địa Trung Hải còn vương bóng chiều
Mà tôi là nhánh rong rêu
Chưa xanh lòng biển đã vùi dập em…",Chiều trên Địa Trung Hải,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Chi%E1%BB%81u-tr%C3%AAn-%C4%90%E1%BB%8Ba-Trung-H%E1%BA%A3i/poem-vykiDI0766D5JYBA0XGy8Q
,"Sông Seine chiều còn nắng
Ngày tôi đã hoàng hôn
Theo con tàu lướt sóng
Cho mặt nước bềnh bồng.

Người lạ người lạ bến
Phố xá lạ tên đường
Bước chân chưa lún đất
Đã nghe vọng cố hương.

Một phương trời xa lắc
Em đứng đợi chiều sang
Cho mây đùa trên tóc
Cho hồn tôi dã tràng.

Lăn theo một chiếc bóng
Còn loáng thoáng dập dềnh
Mà em như ngọn sóng
Tạt lở bờ sông Seine…",Chiều trên sông Seine,Năm chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Chi%E1%BB%81u-tr%C3%AAn-s%C3%B4ng-Seine/poem-uGQ8uVHEqXfThQ8MnC88Tg
,"Một lần bước tới trần gian
Là em đã dẫm ngang tàn tích tôi
Mà nghe trời đất luân hồi
Cho đầy xác lá vàng phơi giấc chiều.

Tôi về quanh những quạnh hiu
Lối xưa cỏ mọc hồn rêu bóng mù
Cũng đâu phải tại mùa thu
Một thời cổ tích đã vù vụt bay!

Từ em mới tượng hình hài
Dường như có tiếng thở dài trăm năm
Bước qua bao nỗi thăng trầm
Ngoảnh lại chiếc bóng đã trần trụi em.

Tôi về giữa chốn nhân gian
Có tan thành khói cũng bàng bạc nhau
Bay vào biển cát cồn dâu
Để nghe bụi đất bắt đầu tái sinh…",Cõi người,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/C%C3%B5i-ng%C6%B0%E1%BB%9Di/poem-bLAz9rzUdwCJpihDyC7GoA
,"Cảm ơn em đã tới
Chốn nhân gian diệu kỳ
Để tôi được nương náu
Vào một cõi tình si.

Em như dòng suối mát
Tắm ướt cả hình hài
Tôi bơi hoài bơi mãi
Chưa ra khỏi trần ai.

Cơn say còn oằn oại
Ngọn sóng đã tràn bờ
Lao theo mỗi nhịp thở
Lạ lẫm tựa cơn mơ.

Em thất thanh khản giọng
Gọi trời đất bốn bề
Tôi co hình tôi lại
Lịm chết giữa u mê.

Cảm ơn em đã tới
Trần ai, dẫu một ngày
Hồn mang đầy vết tích
Nỗi đắm đuối cuồng say.

Còn mê man thảng thốt
Như rớt xuống địa đàng
Mà em là hoa trái
Mọc lên giữa nhân gian…",Em vì tôi mà tới,Năm chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Em-v%C3%AC-t%C3%B4i-m%C3%A0-t%E1%BB%9Bi/poem-BYbR2sC-rueZinPcstYyQA
,"Đêm nghe hồn đá gọi
Từ một cõi xa nào
Tựa như lời sám hối
Vọng về giữa chiêm bao.

Tôi lao đao lảo đảo
Giữa những vết gai đâm
Có oằn mình trăn trở
Cũng đau một chỗ nằm.

Mà em là dấu chấm
Tan vào cõi hư không
Làm tim tôi lạnh cóng
Ngang nhịp thở còn nồng.

Đêm chòng chành thảng thốt
Em về tựa khói bay
Tôi lăn theo chiếc bóng
Níu vuột một hình hài.

Vầng trăng vụt hoá đá
Vết thương còn trên tay
Em có thành nguyệt khuyết
Tôi cũng vẫn là mây.

Bay hoài ngang trời đất
Cho em biết hoang đàng
Dẫu trăm năm lỗi hẹn
Hồn đá vẫn nghênh ngang…",Hồn đá,Năm chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/H%E1%BB%93n-%C4%91%C3%A1/poem-wusWxVNNZyymB41xHSdzEg
,"Chốn cũ tôi về như gió lốc
Tìm em trong cung bậc Beethoven
Mà đã có lần em lướt tới
Cùng tôi giao hưởng khúc thăng trầm.

Nhà Hát Con Sò chiều trôi chậm
Soi bóng tôi mặt nước bạc đầu
Biển vụt thét gào như hợp tấu
Tiếng vĩ cầm thảng thốt vút cao.

Tôi mê man theo từng ngọn sóng
Ôm sát em cho tới vô cùng
Chờ trăm năm tạc thành tượng đá
Cho đời này còn được ở chung.

Nhưng âm vực bỗng chùng xuống thấp
Ngón tay nào lạc giữa dung nhan
Em chưa kịp buông làn tóc rối
Hồn tôi đã lăn lóc hoang đàng…",Khúc chiều bên nhà hát Con Sò,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Kh%C3%BAc-chi%E1%BB%81u-b%C3%AAn-nh%C3%A0-h%C3%A1t-Con-S%C3%B2/poem-9YF26_4SpQAdCcJG_Ei7Ug
,"Em muôn thuở vẫn là ảo ảnh
Dù cách nhau chỉ một làn gương
Vệt nắng chia nhau thành hai mảnh
Có ghép vào chung cũng hoang đường.

Tôi như chiếc bóng từ vô thuỷ 
Mà em là tiêu cự để chói chang
Cho nắng mênh mông hồn biển cả 
Phơi dấu chân theo lớp dã tràng.

Một chút tôi có còn lảng vảng
Cũng khác gì bào ảnh đâu em
Mà cuộc nhân gian dường như đã
Chỉ là bóng nước hợp rồi tan.

Thì em dẫu là làn gương cũ
Soi thấu trăm năm cũng bạc đầu
Bước qua đã giáp lòng dâu bể
Biết còn đời nữa để quên nhau…",Làn gương,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/L%C3%A0n-g%C6%B0%C6%A1ng/poem-4AJkSD3w8SPMqsaS2NuskQ
,"Ghế xưa đã lạnh xanh lòng đá
Tôi về tìm lại dấu chân quen
Lối cũ mà dường như xa lạ
Ngày chưa đêm phố đã lên đèn.

Soi bóng tình nhân lần trễ hẹn
Cho hương thiếu phụ khỏi tàn phai
Tôi có hoá thân thành pho tượng
Cũng mang thương tích cả hình hài.

Xoè tay đếm tháng ngày cùng tận
Biết còn mấy bận để tìm nhau
Ngày đi như áng mây bay chậm
Mà nghe trời đất bỗng bạc đầu!

Bước chân có lún ngang thềm cũ
Ghế đá cũng riêng một chỗ ngồi
Làm sao em biết hồn tôi đã
Như là chiếc lá chực chờ rơi…",Lối cũ,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/L%E1%BB%91i-c%C5%A9/poem-zJnjoKpydYuwMVomivLzSQ
,"Không hẹn hò vẫn đợi
Không thề nguyện vẫn chờ
Tôi có là pho tượng
Vẫn còn những giấc mơ.

Dẫu là duyên hay nợ
Cũng có thời tình nhân
Thì một lần gặp gỡ
Đâu đã là phù vân.

Tôi mang hồn của đất
Thả bóng vào hư không
Mà em như mây trắng
Bay lảng vảng lòng vòng.

Để tôi còn đứng ngóng
Chờ sợi tóc bạc đầu
Buộc nhau vào dâu bể
Cho nặng nợ đời sau!

Đến khi nào em hiểu
Tôi yêu em bao nhiêu
Đường trần đã xanh cỏ
Đâu còn thấy lối vào.

Lao đao cùng chiếc bóng
Lời tình tự vô ngôn
Từ âm vang của đất
Còn có một linh hồn…",Lời đất,Năm chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/L%E1%BB%9Di-%C4%91%E1%BA%A5t/poem-leuglLVkCl79CUF6Ok6YAQ
,"Đợi ai em đứng ngóng
Cho hàng cây ngẩn ngơ
Tôi tựa như chiếc bóng
Để em biết mong chờ!

Chiếc cặp còn chất chứa
Ăm ắp những trang thơ
Em quẩy vào quá khứ
Cho đầy thêm giấc mơ!

Tôi chưa lần quên nhớ
Thuở lớ ngớ rộn ràng
Áo bay ngoài cửa lớp
Còn trắng phếu miên man.

Như nụ hoa vừa chớm
Giông gió vụt lướt qua
Em chưa kịp chớp mắt
Bóng tôi đã nhạt nhoà.

Một thời tình luýnh quýnh
Thình lình thất lạc nhau
Tim tôi còn rỉ máu
Chắc gì em không đau.

Có bước vào cổ tích
Tượng đá vẫn bạc đầu
Thì dẫu em nhón gót
Cũng chưa tới đời sau…",Một thời tình luýnh quýnh,Năm chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/M%E1%BB%99t-th%E1%BB%9Di-t%C3%ACnh-lu%C3%BDnh-qu%C3%BDnh/poem-QqDBkTZbHe6HG7KXg9tpNA
,"Buồn như những hạt mưa thu
Rắc vào quá khứ cho mù sương tan
Ngày đi hoa cúc còn vàng
Hồn tôi như đã nhện giăng tơ chùng.

Trăm năm không được ở chung
Một ngày thì cũng là cùng tận nhau
Chắc gì em có lần sau
Để nghe thương tích cứa cào dung nhan.

Mà trên mỗi dấu chân hoang
Chạm vào vực cát dã tràng còn đau
Bước qua lỡ một nhịp cầu
Hạt mưa lất phất bạc đầu mùa thu.

Lối xưa giờ đã mịt mù
Em như chiếc bóng mộng du cuối ngàn
Chờ nhau một cuộc mưa tan
Biết còn gặp lại giữa tàn canh thu…",Mưa thu,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/M%C6%B0a-thu/poem-RqXpG9t1bfL-Cc0niHfLBg
,"(Viết cho sinh nhật tôi, mùa thu Úc Châu 15/05/2023…)

Tôi về ngày tháng năm tôi
Tựa như một chuyến luân hồi tái sinh
Tìm em từ thuở bạc tình
Còn nghe thương tích trở mình mẩy đau.

Trăm năm mấy bận bạc đầu
Để em đếm những úa nhầu trên vai
Tóc tơ chạm xuống hình hài
Chỗ tôi nương náu cho dài giấc mơ.

Hồn tôi lãng đãng lờ đờ
Như mây buổi sáng đang chờ chực mưa
Tìm em quanh những lối xưa
Người xa lạ phố còn thừa bóng tôi.

Mùa thu là của đất trời
Mà em là của riêng tôi tạc hình
Thì dẫu mấy bận khai sinh
Cũng là một cuộc hành tình tội nhau…",Ngày tôi,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Ng%C3%A0y-t%C3%B4i/poem-cBFGucC_qokmh4onkQvmxQ
,"Đêm còn ngan ngát hương sen
Em ngồi xoã tóc chong đèn đợi ai
Có nghe trong tiếng thở dài
Hơi người đọng giữa hình hài chung thân?

Thuở em vừa thắm môi trần
Cho tôi đắm đuổi dự phần dung nhan
Bước qua một cõi hoang đàng
Hồn tôi lãng đãng lan man lạ lùng.

Đường trần không được đi chung
Thắp lên ngọn nến cho cùng tận nhau
Tôi về chưa kịp đời sau
Mà em đã biết nỗi đau muộn màng.

Cũng là một khúc tình tan
Như tim đèn lụn đang tàn ngọn không
Bóng em trôi dạt bềnh bồng
Hồn nương theo khói chập chờn đóm khuya…",Ngọn không,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Ng%E1%BB%8Dn-kh%C3%B4ng/poem-hvOPkhRJbciECJerrS9GYA
,"Vung tay chém nhát tuyệt tình
Cho lưỡi gươm còn lung linh hình hài
Máu tươm xuống cõi trần ai
Từ khi tôi biết hoài thai kiếp người.

Chém cho hung bạo tả tơi
Nhát gươm em còn sáng ngời, đó em!
Thịt da tôi đã rũ mềm
Còn nghe gối lụa chăn êm ả chiều.

Hồn phách dẫu có phiêu diêu
Cũng là mây trắng nghêu ngao giữa trời
Để em giũ áo ra phơi
Vết thù còn ứa một đời người dưng.

Chém cho lạnh buốt tay trần
Lưỡi gươm bén ngót xuyên tâm thất người
Để thấy trong trái tim tôi
Có em đứng giữa những rời rã nhau…",Nhát chém,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Nh%C3%A1t-ch%C3%A9m/poem-yzPpO25IJNwEbUUJsSDiSg
,"Gặp nhau là để ngậm ngùi
Trăm năm biết có gì vui mà chờ
Thà em cúi mặt làm ngơ
Còn hơn ngoái lại mà quờ quạng nhau.

Thì tôi dẫu có bạc đầu
Cũng riêng mang một nỗi đau muộn màng
Vì em như giọt sương tan
Ngấm vào quá khứ cho tàn bóng không.

Sông sâu cũng chỉ một dòng
Cầu cao mấy nhịp để chòng chềnh nhau
Tim em có bị cứa cào
Mím môi cho chặt cùng đau một lần.

Xin đừng nấn níu phân vân
Chỉ là một khúc đường trần, vậy thôi
Em đâu phụ bạc gì tôi
Vậy mà cũng đã một đời ở riêng…",Ở riêng,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/%E1%BB%9E-ri%C3%AAng/poem-NAk4y7_CSuaBKmZsu4N72A
,"Mưa tạt vào em chiều cuối chạp
Mà hồn tôi như đã ra giêng
Tìm nhau từ thuở chưa hò hẹn
Cả đời còn lãng đãng rối ren!

Em về chưa kịp chiều mưa muộn
Áo mỏng thôi bay giữa phố phường
Tôi như lữ khách không chỗ trọ
Thì biết nơi nào để náu nương!

Sực nhớ tóc em dài như lụa
Để tôi len lén dựa dẫm vào
Bỏ quên lại chút hồn tháng chạp
Cho em còn di tích xưa sau.

Như hạt mưa tan vào giấc mộng
Mà nghe đồng vọng một hình hài
Thì dẫu giữa đường em đứng lại
Bước chân cũng đã chạm giêng hai…",Ra giêng,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Ra-gi%C3%AAng/poem-DXM62StzsoF73OcMva5iYg
,"Có chiếc lá đã lăn vào đất
Chỗ tôi qua còn ấm hơi người
Bóng em đánh thức đàn chim nhỏ
Cho mùa thu lác đác vàng rơi.

Bỏ lại tàng cây chờ bụi bám
Hồn tôi treo ngược nhánh rong rêu
Để em đuổi theo từng xác lá
Còn lan man theo vạt nắng chiều.

Từ thuở em về như ngọn gió
Heo may tạt rát cả đời nhau
Làm tim tôi xôn xao lảo đảo
Chốn xưa đâu còn thấy lối vào!

Thì dẫu trăm năm là dâu bể
Cũng đợi em về kịp giấc chung
Ghì nhau cho sát dung nhan lại
Nằm nghe một nhịp thở sau cùng…",Thu hành,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Thu-h%C3%A0nh/poem-yAyLXQupmvcT27oeEdiiLw
,"Thì cũng về thôi chiều tháng bảy
Cùng em bày biện tiệc mưa Ngâu
Hương thiếu phụ còn quen hơi cũ
Mà hồn tôi như mới bắt đầu.

Rượu nồng rót tràn môi em đỏ
Nhấp cho cạn đáy tách tương phùng
Một ngày cũng đã là muôn thuở
Cùng em nương náu giấc mơ chung.

Cầu Ô-Thước bắc ngang dâu bể
Tôi lăn qua bao nỗi gập ghềnh
Còn nghe tiếng tình nhân thủ thỉ
Như giọt Ngâu mải miết lênh đênh.

Đâu còn được mấy lần tháng bảy
Thì trăm năm cũng tựa một ngày
Để em bày biện dung nhan cũ
Cho hương thiếu phụ phất phơ bay…",Tiệc Ngâu,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/Ti%E1%BB%87c-Ng%C3%A2u/poem-29sDkvUUZ2XaUvXWubbjYQ
,"Tay lần tờ lịch tháng giêng
Hồn phiêu dạt mộng còn triền miên em
Thời gian lướt tựa cánh chim
Để tôi lao tới ngóng tìm bóng nhau.

Mùa xuân vừa chạm hiên rào
Cỏ hoang mọc đã xanh xao lối về
Chỗ em một thuở vân vê
Đôi tà áo ghi lời thề thốt xưa.

Tôi ngồi đếm những hạt mưa
Trong mắt em có hạt chưa dậy thì
Nhẹ nhàng tựa dấu chân di
Vậy mà để lại bao tì vết nhau.

Tháng giêng thì mới bắt đầu
Tờ lịch ngày cũ đã nhầu đáy gương
Bóng tôi như thể hoang đường
Lẩn vào mây trắng còn mường tượng em…",Tờ lịch tháng giêng,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/T%E1%BB%9D-l%E1%BB%8Bch-th%C3%A1ng-gi%C3%AAng/poem-cebBfHizBJ5aEnci6LcmMg
,"Như thoáng nắng chiều đang dệt lụa
Trên tóc em thuở mới biết buồn 
Là chỗ hồn tôi đang ở trọ
Còn nghe dậy mộng một mùi hương.

Em chải mùa thu vào ý lược
Cho dài sợi tóc động lòng gương
Mà cả đời tôi còn mường tượng
Em mong manh như thể hoang đường!

Thì dẫu trăm năm không hò hẹn
Vẫn còn di tích thuở tình nhân
Đã có đôi lần tôi bỏ lại
Trên vai em những dấu môi trần.

Cho nắng hồng thêm da thiếu phụ
Ngang hồn gương cũ để kiêu sa
Có nấn níu mùa thu chậm lại
Em cũng tan theo bóng lụa là…",Vạt nắng mùa thu,Bảy chữ,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/V%E1%BA%A1t-n%E1%BA%AFng-m%C3%B9a-thu/poem-JsW-iF9gGDddoPtDUG9rAg
,"Thì thôi, rồi cũng đi về
Quay lưng bỏ lại khúc mê lộ buồn
Em còn đứng dựa bóng gương
Soi dung nhan cũ để mường tượng nhau.

Trăm năm chỉ một chuyến tàu
Làm sao em biết toa nào tôi qua
Đường trần có mấy sân ga
Hồn tôi cũng đã là đà đó em.

Về thôi, về để lãng quên
Khúc đời ở trọ buồn tênh phận người
Em còn có thấy bóng tôi
Chỉ là chút nắng về phơi lưng chiều.

Để nghe trong nỗi quạnh hiu
Đến đi thì cũng nhẹ hều như mây
Vậy mà tôi đã ngất ngây
Bước qua đời khác còn đày đoạ em..",Về thôi,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/V%E1%BB%81-th%C3%B4i/poem-L37UruXua4qp4cisAxkcmw
,"Chạm ngày 15 tháng 5
Bàng hoàng như thể đang lần tái sinh
Cùng em bày biện tiệc tình
Đêm thơm như đoá dạ quỳnh mãn khai.

Để nghe nhịp thở em dài
Phả hương cho đắm hình hài hư vô
Mà tôi là gã tội đồ
Trong cơn mê sảng sóng xô bạc đầu.

Em có hối hả về đâu
Cũng mang theo những khát khao dị kỳ
Tựa như đôi cánh thiên di
Bay đi bỏ lại bao tì vết nhau

Bóng em lụa mỏng tơ nhầu
Phất phơ để biết còn đau lưng trần
Hồn tôi ngọn gió không chân
Giạt vào em nỗi bấp bênh, lạ lùng…",Bài khai sinh tháng 5,Lục bát,Hư Vô,https://www.thivien.net//H%C6%B0-V%C3%B4/B%C3%A0i-khai-sinh-th%C3%A1ng-5/poem-KAivJq4yq1zmLMdHZc0NyA
