Original,Edited,Title,Genre,Author,URL,"Data
usable"
,"Gió lùa những chiếc lá vàng rơi
Phố vắng chiều nay thiếu bóng người
Cuối hạ ve ngâm cung tống biệt
Đầu thu dế hát điệu ru mời
Mưa chiều xứ lạ buồn dâng kín
Nắng sáng quê nhà nhớ cạn vơi
Nỗi nhớ về ngang cơn bão rớt
Luồng qua kẽ tóc trở về khơi .",giao mùa,,TTL,https://poem.tkaraoke.com/22652/.html,
,"Cuối mùa thu, lá vàng rơi nhiều qúa
Tìm ở đâu những chiếc lá ngày xưa
Nước từ nguồn theo sông về biển cả
Mòn tháng năm, vách đá đợi bốn mùa
Nước xuôi dòng, đá chờ trong sương nắng
Bao mùa thu chờ nước ngược dòng sông
Đúng không đúng , đá chờ chi hóa trắng
Sai không sai, nước phải chảy xuôi dòng
Như ngựa già vó mõi đường thiên lý
Cánh đồng xưa cách bao dặm quan san
Gần rất gần, như luôn trong tâm ý
Xa rất xa, mờ mịt cõi nhân gian
Tương ngộ chi để rồi buồn ly biệt
Duyên bèo mây đời họp để rồi tan
Tâm lực theo dòng đời trôi mất biệt
Mỗi thu về ngơ ngẩn đếm lá vàng
Đá vẫn đợi bên bờ sông muôn thuở
Nước theo sông hòa nước mặn biển khơi
Đá bờ sông ngu ngơ chờ sóng biển
Trả về sông dòng nước ngọt một thời
Núi đứng sầu nhìn sông, buồn con nước
Đến rồi đi, bờ đá nhớ ngậm ngùi
Ngày tháng qua, rong rêu đầy vết tích
Của thời gian con nước chở buồn vui
Cội cây già đã bao lần thay lá
Nước cuồng xoay và nước lại ra khơi
Cành rong xưa vẫn còn bên vách đá
Đã mất rồi dòng nước ngọt một thời
Cho ...
dòng nước ngọt qua đời tôi một thuở
ngọt đắng tình yêu, xin cảm ơn người .",tìm đâu,,TTL,https://poem.tkaraoke.com/22653/.html,
,"Một mình phố vắng lang thang
Đèn đêm mơ ánh trăng vàng năm xưa
Biển đời sóng dạt gió đưa
Bao năm qua cũng vẫn chưa nguôi buồn
Ai làm chớp bể mưa nguồn
Sáng trong khoảnh khắc sầu tuôn suốt đời
Nhớ về nơi chốn xa vời
Vầng trăng không thể xẻ đôi gửi về
Xa xôi nghìn dặm sơn khê
Quan san cách trở đường về núi sông
Câu ca : Xa mặt cách lòng
Bao năm sao vẫn còn mong còn chờ
Trăng trời đông sáng mộng mơ
Đêm rằm viễn xứ trăng mờ trời tây
Đèn đêm sáng chói phủ vây
Trăng đơn cô độc héo gầy trăng soi",đem rằm xứ lạ,,TTL,https://poem.tkaraoke.com/22655/.html,
,"Những giọt mưa suốt canh trường
Để xóa lòng tôi những yêu thương
Cô quạnh mà nghe tình --tàn úa
Còn gì người hỡi...những vấn vương
Cuộc đời chẳng giống mơ viễn ảo
Buộc mình vào hai chữ thanh cao
Đời trả cho ta...sầu ngàn tấn
Thà cứ buông xui...mặc thế nào...
Tìm nhau vóc dáng..dầu tuyệt hảo
Chỉ có tâm hồn giữ được nhau
Nữa đời còn lại...cho anh hết
Chàng thơ...chân thật..và thanh tao
Rượu cay chén cạn cộng chén đầy
Mời người cạn hết buổi đêm nay
Trăng tàn..là cánh chim bạt gió
Hai người hai ngã....cuối đường mây
Bình minh...theo dấu chân người đó
Người tiếc, người sầu...người nhói đau...!",mặc thôi thế sự thế nào,,Băng Nguyệt,https://poem.tkaraoke.com/22656/.html,
,"Trăng
Người quá năm mươi tuổi xế tà
Trăng từ vạn cổ vẫn tiên nga
Tơ vàng óng ánh che hình lại
Sợi bạc long lanh ló dạng ra
Soi bóng mặt hồ nhìn cá lặn
Treo mình đỉnh núi ngắm chim sa
Hỏi chi vầng Nguyệt bao nhiêu tuổi
Cứ ngắm dáng Hằng dệt mộng hoa
TTL
Trăng Mười Sáu (1)
Mười sáu trăng tròn ngắm ngất ngây
Xuân thì hoa mộng ước mơ đầy
Môi hồng hé nụ ong ngơ ngẩn
Mắt biếc khẽ nhìn bướm đắm say
Áo trắng ngày xưa phai sắc thắm
Tóc huyền thuở ấy nhạt màu bay
Thời gian vó ngựa qua song cửa
Lời hẹn đá vàng phó rủi may .
TTL
Trăng Mười Sáu (2)
Trăng tròn mười sáu tuổi thơ ngây
Hoa nở vườn xuân ước vọng đầy
Mắt biếc hồ thu bao kẻ đắm
Môi hồng nụ thắm lắm người say
Gió đùa áo trắng, ong ghen... lượn
Nắng vuốt tóc huyền, bướm ghét... bay
Bến đợi chờ thuyền trông bóng nhạn
Tơ hồng mấy đoạn vá hay may
TTL",trăng,,TTL,https://poem.tkaraoke.com/22657/.html,
,"Lớn ròng, con nước giữa dòng đời
Buồn vui gom góp, cạn, đầy, vơi
Xuôi dòng, ngược dốc chân mãi bước
Thăng trầm cuộc sống, những đổi dời
Rồi cũng về khơi, những nhánh sông
Như sương, như khói tuổi xuân hồng
Bao nhiêu mộng ước như bọt nước
Vỡ tan, chìm nổi, cuốn theo dòng
Thế gian mọi việc vốn vô thường
Nhủ lòng, sống trọn với yêu thương
Nửa kiếp bôn ba, nhìn ngoảnh lại
Rong rêu danh lợi, phấn, bụi đường
Hải hồ phiêu bạt, nợ dâu tằm
Trôi theo mây gió, mộng xa xăm
Dòng đời, những nhánh sông định mệnh
Về khơi, mơ một nhánh trăm năm .
TTL",phù vân,,TTL,https://poem.tkaraoke.com/22658/.html,
,"Tháng Tư còn đó nỗi đau
Lìa quê, biệt xứ, tiễn nhau lệ nhòa
Đôi ta hai phương trời xa
Xẻ chia nỗi nhớ quê nhà mến yêu
Bên này có những buổi chiều
Quạnh hiu, vắng vẻ, buồn thiu xứ người
Ở bên kia cuối chân trời
Vần thơ gởi đến chia đôi nỗi lòng
Biết em lòng vẫn hoài mong
Đời lưu vong vẫn chờ trông một ngày
Tìm nhau tay siết chặt tay
Kể nhau nghe chuyện lưu đày xứ xa
Nhà tan nước mất bôn ba
Đài trang lưu lạc dáng hoa héo mòn
Bụi đường lấm gót chân son
Tóc huyền thuở ấy chẳng còn như xưa
Đời anh bao mùa nắng mưa
Khói sương nhuộm tóc vẫn chưa thỏa lòng
Nửa đời qua vẫn trống không
Như thuyền con lạc giữa dòng mù khơi
Níu ghì giấc mộng vá trời
Những đôi vai nhỏ đời trôi hững hờ
Thôi thì ! Thôi nhé! Cứ mơ
Em chờ, anh đợi như thơ: Hẹn ngày
Quê hương sẽ được đổi thay
Tương phùng ly rượu, mắt cay lệ mừng
Cám ơn em nhé, người dưng
Xẻ chia tâm sự Triệu, Trưng. Ghi lòng!
TTL",xẻ chia... nỗi buồn xa xứ,,TTL,https://poem.tkaraoke.com/22659/.html,
,"Bầu trời ngoài cửa như sáng lên trong đôi mắt em
Từ khi được gặp anh vạn vật đều như thay đổi
Trước khi gặp anh em chưa từng nghĩ tình yêu lại có nhiều cung bậc đến vậy
Giờ đây mỗi ngày em đều cám ơn Thượng đế
Vì người đã mang anh đến với cuộc sống này
Giờ đây mỗi ngày em đều cảm tạ tạo hoá diệu kỳ
Vì đã khiến em gặp được anh
Em không dám mong tình đôi ta là Thiên trường địa cửu
Cũng không dám mơ được sống chết bên nhau
Em chỉ mong sau cho đến hơi thở cuối cùng
Em vẫn được kề cận bên anh
Người nhân thế bảo tình yêu em dành cho anh là hư ảo
Nhưng em mặc kệ sự đời, mặc kệ thế nhân
Em cũng không mong anh đền đáp tình này
Chỉ mong được âm thầm bên anh những khi vui khó
Em không dám mong tình đôi ta là Thiên trường địa cửu
Cũng không dám mơ được sống chết bên nhau
Em chỉ mong sao cho đến hơi thở cuối cùng
Em vẫn được kề cận bên anh
Cùng anh bước qua những tháng ngày gian lao khốn khó
Anh có biết hay chăng hỡi người yêu dấu
Tình yêu em trao cho anh không chút nghĩ suy
Không chút đắn đo cũng không hề ăn năn hối hận
Nhưng em chỉ mãi day dứt một điều
Đó là dù có yêu anh nhiều bao nhiêu đi chăng nữa
Trọn đời này em vẫn không thể thốt ra hai tiếng ""Yêu anh""",không thể nói yêu anh,,Đông Tảo,https://poem.tkaraoke.com/22660/.html,
,"Tất cả bầu trời trong mắt em
Đem cho ta những thân quen
Rồi nhớ...
Rồi mong...
Rồi chờ đợi một khoảng trời trước mặt
Dòng phím nhỏ đang ngân lên từng cung bật..
Nốt bỗng...
Nốt trầm...
Như khăn lụa gió xa bay
Vũ trụ cuồng, hay điên đảo những cơn say
Hãy lắng nghe..có phải tình xuân vừa thắm nụ
Này cô bé !
Có phải em bước ra từ ảo ảnh
Và đến với anh như ký ức hồi sinh..
Trong hư vô..
Sao vạn vật bỗng hửu hình
Và điều ước bên nhau thành hiện thực
và anh chỉ xin được một ngày..
Nhưng là ngày vĩnh cửu
Ta trong ta...và tất cả chỉ là nhau...
Dù trời..Dù đất... đỗi thay màu
Nhưng ngọn lửa thiên vẫn ấm trên ngàn nỗi nhớ..
Chỉ cần tay em trong tay anh
Chỉ cần chung lại hai mái đầu xanh
Thì khi ấy....từ đầu môi
Hai tiếng ""Yêu anh"" là vô nghĩa
TL",đâu cần nói yêu anh,,Thi Lâm,https://poem.tkaraoke.com/22661/.html,
,"Nếu chúng ta có được một ngày
Một ngày bên nhau hơn là vĩnh cửu
Em nguyện được cùng người
Tay trong tay tóc vờn theo ngọn tóc
Giữa đất trời mà ngạo thế gian say
Nếu chúng ta quả được một lần
Ngọn lửa thiêng ấm trên ngàn nỗi nhớ
Thì người ơi dẫu là lời vô nghĩa
Nhưng cũng một lần... mong được thốt trên môi",không thể nói yêu anh 2,,Đông Tảo,https://poem.tkaraoke.com/22662/.html,
