Original,Edited,Title,Genre,Author,URL,"Data
usable"
,"Rượu muốn uống mà thiếu tình tri kỷ
Nên bâng khuâng dõi theo áng mây chiều
Để tâm hồn tìm lại chút thương yêu
Của thuở ấy lúc tuổi đời hoa mộng
……………….
Sân đại học cuối trời chiều nghiêng bóng
Vạt áo dài theo gió cuốn bay bay
Dáng kiêu sa, làn tóc xõa vai gầy
Hỡi kiều nữ
Em làm ta ngây dại
Ta đứng ngắm mà nghe lòng tê tái
Bực gió chiều sao quyện gót chân sen
Thổi lá me làm cuống bước chân hiền
Còn bám tóc, vờn mắt môi người ngọc
Này kiều nữ
Phải em người trong giấc
Mộng đêm qua vai người đẹp Quỳnh Như
Để cho ta tráng sĩ mãi tôn thờ
Em ngọc nữ . . .
Ta mang hồn Phạm Thái
***
NguyễnTâmHàn",kiều nữ,,Nguyễn Tâm Hàn,https://poem.tkaraoke.com/27939/.html,
,"Chiều nay xuôi về nẻo cũ
Đường xưa một bóng đơn côi
Bước chân trong lòng phố thị
Bâng khuâng tình đã xa rồi
………………..
Ngại ngùng bước trong nắng hạ
Đường xưa in dấu chân em
Chiều nay chợt như xa lạ
Bỗng dưng mằn mặn môi mềm
………………
Chợt nghe tim lòng băng giá
Đắng cay nhiều nỗi xót xa
Ta đây nàng hay chăng tá
Phố xưa nắng vẫn chan hòa
……………
Đây con đường xưa chung lối
Ngày xưa hai đứa chung đôi
Giờ tình đi không trăng trối
Người xưa lỗi ước hẹn rồi
………..
Dấn bước phiêu du hồ hải
Quên duyên tình vỡ đôi nơi
Bến nước Tầm Dương còn mãi
Sầu dâng tự thuở xa người
***
NguyễnTâmHàn",lối cũ,,Nguyễn Tâm Hàn,https://poem.tkaraoke.com/27940/.html,
,"Mỗi tác giả, một mảnh đời, thật vậy
Những anh thư kỳ tú ở muôn nơi
Họp chung nhau làm Hoa Nắng hương trời
Bao thi sĩ hòa chung vườn thơ nữ
Kính tặng lại, bài thơ không thứ tự
Những nhà thơ như  Vũ Thị Thiên Thư
Chị Bình Nguyên, Ấu Tím... mãi còn mơ
Chị Thảo Chi,  Thanh Trí, Vương Hồng Ngọc
Chị Dã Quỳ, chị Tùy Anh... mưa móc
Những nụ cười chị Lưu Trần Quỳnh Hương
Chị Sương Mai đường phượng tím còn vương
Chị Sương Lam, tiếng ca hay Thi Hạnh
Trần Tường Vi hạt sương rơi lóng lánh
Trên vườn thơ sáng sớm đẹp trong xanh
Chị Phương Vy, chị Đức Trí Quế Anh
Mười lăm chị mỗi người mang một vẻ
Chúc các chị làm thơ luôn mãi nhé
Một một năm lại xuất bản, thêm đông
Bao người mong, bao người được thỏa lòng
Đọc các chị, lắng nghe lời tâm sự
Tặng các chị bài thơ không thứ tự
Mừng hôm nay Hoa Nắng đã khoe tươi
Mừng hôm nay hiện diện giữa cuộc đời
Cho văn học mỗi ngày thêm tiếng nói
Mỗi tác giả, một mảnh đời, tiếng gọi
Đi vào tim, vào thế giới riêng tư
Của những người khao khát giữa đời thơ
Những đóa hoa khác thường nhưng rất thực
Nguyên Đỗ","mỗi tác giả, một mảnh đời",,Nguyên Đỗ,https://poem.tkaraoke.com/27941/.html,
,"Em gởi cho anh một chút tình
Bằng đôi mắt biếc nụ cười xinh
Ngẩn ngơ anh trở thành ngơ ngẩn
Có phải tơ duyên buộc chúng mình !
Anh gởi cho em chút dịu dàng
Bằng lời thơ dại trót vương mang
Ngẩn ngơ em trở thành e thẹn
Em dấu trong tim bóng của chàng
Anh về ôm mộng ước yêu đương
Thao thức nhìn trăng bóng dõi đường
Mai sáng anh tìm mua cát gạch
Xây hồ bán nguyệt rửa chân thương
Em về trăn trở cả canh khuya
Người ấy nhìn em quá lạ kìa
Không biết không quen lòng vướng nhớ
Bây giờ trằn trọc cả canh khuya !
Hai đứa nhìn nhau luống thẹn thùng
Mong gì quan tái bước đường chung
Bên em dệt cửi anh đèn sách
Hai đứa nhìn nhau luống ngại ngùng !!!
Hương Việt
Cali. 29.6.2007",gởi cho nhau,,Hương Việt,https://poem.tkaraoke.com/27942/.html,
,"(Cảm tác trong Phim ""Vựơt Sóng"")
Ta vượt sóng làm thân phiêu bạc
Một mảnh đời, hai cụôc bể dâu
Buổi cờ tan, tuổi còn quá trẻ
Phận lưu đày nơi chốn hoang sâu
Cùng một lứa, bên đời lận đận
Kẻ tóc xanh, người đả bạc đầu
Trắng thâu canh,trách thầm thân phận
Như con dế mèn gặm nhắm niềm đau
Xa thăm thẳm núi rừng cô quạnh
Mộng chập chờn ,tỉnh giấc đêm thâu
Cây xào xac gió rừng vọng lại
Như tiếc thương ,tre nứa ủ sầu
Thương bạn bè ,kẻ còn kẻ mất
Những canh khuya trăn trở gối mền
Thương cho người dầm sương, giải nắng
Lặn lội thăm nuôi ,chẳng quản ngày đêm
Chân sỏi đá ,mưa dầm,nắng dập
Cả một đời bươn chải mai đây
Nàng Tô Thị tháng năm mòn mỏi
Não lòng thay ,phận kẻ lưu đày !
Hổ nhớ rừng ,gầm vang khắc khỏi
Người nhớ người ,nuốt lệ đêm thâu
Ngày qua ngày ,thiên thu vẫn đợi
Lịch xé từng tờ ,Chứa vạn niềm đau
Người vọng phu ,lực mòn ,trí mỏi
Kẻ trở về...gậy trúc oan khiên !
Thân rã rời...chân cao... chân thấp
Trải một đời, mộng mị triền miên...
Nghĩ chuyện xưa ,ngậm ngùi tất dạ
Cuộc thế phù du,lao khổ một thời
Tìm lại bóng ,thấy mình xa lạ
Tuổi năm mươi,tóc bạc xứ người !
Nợ với đời ,nhện vẫn giăng tơ
Thương hải ,tan điền ,Tim khô, kén cạn
Mộng du đời ,tỉnh giấc bơ vơ
Cõi vô thường, phận người cát bụi
Ton That Man",cát bụi phận người,,Ton That Man,https://poem.tkaraoke.com/27943/.html,
,"Ta rót mời mình những chén cay
Bởi đời đen trắng khó phân này
Ta lãng quên ta ngày yên tĩnh
Đêm cũng trầm tư với chuỗi say
Từ ta rũ bỏ xuân như ý
Về chơi trên đỉnh túy nguyệt sầu
Ta biết ngàn năm cơn bi lụy
Ngăn thành cách nẻo mộng thăm nhau,
Tạ ơn tri khách còn quyến luyến
Tửu hương lưu dấu áo màu xưa
Hồn ta như thể cung nguyệt điện
Trống huênh mùa bão táp gió mưa
Dáng mây cõng bóng về ngang phố
Thu đang giữ cất một nụ cười
Trường giang thi khúc khi hạnh ngộ
Nhớ hoàn lai nhé sắc hồng tươi...
BĂNG NGUYỆT",trả nhau lối mộng ban đầu,,Băng Nguyệt,https://poem.tkaraoke.com/27944/.html,
,"mình rót mời nhau chén rượu thơ
xóa đời đen trắng xóa mây mờ
sưởi đêm trăng ấm tan băng giá
hong mấy mùa đau xa giấc mơ
mình vẫn như xưa tình vô biên
dù xuân khuất dấu giữa bao miền
say thơ say gió say bóng nguyệt
ta, mình hình bóng chuyện hàn huyên
tạ ơn tri kỷ rót rượu thơ
hương áo còn thơm giữa bụi mờ
nâng niu hồn nguyệt vàng hương tỏa
tay chạm bàn tay chuốc bút thơ
phố đêm hội tụ mây hồng tím
thu rơi mảnh nhớ rót vào tim
chia nhau băng giá khi đông tới
điểm nụ cười trăng xóa nỗi niềm ...
Mỹ Trinh",rượu thơ sưởi đêm nguyệt lạnh,,Mỹ Trinh,https://poem.tkaraoke.com/27945/.html,
,"mây chiều thấp giăng sương rơi lòng hạ
hương áo xưa tầm tã rụng đam mê
chiều chưa đi màn đêm đã trở về
xơ xác thổi chiều sơn khê mù tịch
mùi hương áo ru hồn xưa dấu tích
luân lưu đời tâm niệm một trầm luân
réo linh hồn ngoi vũng tối bao lần
luân vũ rớt lối về hương đêm hạ
mấy tiếng lòng chừng như hoài vất vả
úp vào đêm tìm hơi ấm bàn tay
nghe dường như hương áo cũ rơi dài
hai tay khép chờ ai hong từng ngón
chiều ra đi theo dấu đời chua ngọt
mùi hương xưa còn rót ướt mây chiều
chen vào đêm tìm bóng nhỏ người yêu
hôn làn gió dập dìu đan hư ảo
Mỹ Trinh",hương áo hạ,,Mỹ Trinh,https://poem.tkaraoke.com/27946/.html,
,"chim quyên ăn trái nhản lòng
anh về nhớ nhé vun trồng trái mơ !!
trên non suối chảy lặng lờ
chân đồi dựa bóng bài thơ nắng về
buồn đi nhặt lại đam mê
sầu đi quay quắt nắng chê giận hờn
anh về tô nắng vành son
tô quê hương đậm tình non nước tình
hoa trôi tim tím lục bình
trôi thương trôi nhớ cho mình tìm nhau
mưa ngâu trên ngọn trúc đào
bắt cầu ân ái thăm nhau đôi lời
hứng mưa vài giọt tình rơi
uống khao khát mộng chưa vơi đáy lòng
thèm về quê cũ nắng trong
biển xanh hòn ngọc, hòn chòng quê cha
trắng tinh hương cát lụa là
em hôn lên vết trăng tà khóc mưa
chôn buồn dưới góc vườn xưa
dấu thêm kỷ niệm cho vừa mộ duyên
vuốt anh nước chảy suối tiên
chảy dòng mật ngọt ưu phiền trôi xa
thơ tiên đeo chuỗi ngọc ngà
lần dòng kinh khổ lụy pha sắc màu
nắm tay gom trọn xanh xao
buông tay tình mãi ngọt ngào hương thơ
tìm nhau mấy kiếp đợi chờ
khói chiều đưa lối mây thơ thả dài
đếm từng dấu vết trần ai
đếm sao lấp lánh thiên nhai dáng hình
lạy trời sóng lặng thanh bình
tấc lòng tấc dạ em xin anh về
quê hương bờ cũ đập đê
chảy dòng nước cuốn anh về trầm luân
dòng xuôi dòng ngược thiên ân
chôn nhau cắt rún một lần như xưa !!
Mỹ Trinh",chim quyên ăn trái nhản lòng,,Mỹ Trinh,https://poem.tkaraoke.com/27947/.html,
,"ầu ơ... mấy khúc tình ca
bóng thương đi vắng cửa nhà lạnh hoang!
ví dầu... gió có về ngang
bậu ơi trăng đã hát vàng tương tư!
tơ tình áo lụa nát nhừ
đèn khuya hiu hắt tình thư mấy lần!
gió rơi hương áo xa gần
thương nhau mùi áo thơm lần có nhau
hoa xuân mấy độ vườn đào
anh đi tình vẫn xôn xao lối về
giọt này em rót rượu kê
uống cho đêm ngủ trăng thề qua song
gót hài nhè nhẹ như lòng
giấc mê anh ngủ mấy vòng trầm luân
tình say một thoáng mùa xuân
mơ say một kiếp muôn lần nhớ nhau
ngày xưa môi ghé mộng đào
em về ủ áo ngọt ngào hương dâu
sương rơi ướt mộng tình sầu
rượu quên em rót cho sầu rơi nhanh
chiều nay song cửa vắng tanh
nhớ mùi hương áo thơ lành ru nhau
ngàn năm mộng thắm xanh màu
lòng mưa ủ giọt lệ nào ru em
vi vu tiêu sáo dịu êm
hương rơi theo gió tình mềm trên mây!
Mỹ Trinh",nhớ mùi hương áo,,Mỹ Trinh,https://poem.tkaraoke.com/27948/.html,
