Content,Title,Genre,Author,URL
"Tôi muốn đi
tìm nơi bình yên của riêng tôi.
Không còn có ồn ào khói bụi.
Không bon chen cuộc đời xã hội.
Và không em tất cả đã xa rồi.
Mỗi buổi sáng chim ca vượn hót.
Nắng thủy tinh soi rọi cả tâm hòn.
Suối xanh trong róc rách tiếng nhạc buồn.
Và bình yên ơi có nơi nào như thế?
Để cho tôi gửi gắm cả linh hồn!",bình yên,,Bùi Thành Công,https://poem.tkaraoke.com/49695/.html
"Kỷ niệm xưa trong ký ức đậm sâu
Bao năm tháng đời giãi dầu sương gió
Chúng ta đã trãi qua ngàn lệ đỏ
Vẫn cùng nhau trên một ngõ đi về…
Cuộc đời ta như nắng đổ bên đê
Hồn em mộng tình anh kê gối biếc
Sâu đáy mắt mặn mà bao tha thiết
Mãi bạc đầu cho thơ viết lời say…
Nhớ ngày xưa tình mới chớm gió lay
Em e thẹn trong vòng tay anh ấm
Muà đông đến  mưa lạnh lùng ướt đẫm
Vai em gầy tình anh thấm tim em
Nay đông về gió lạnh giá môi mềm
Có anh rồi đừng hỏi thêm gì nữa
Anh mãi nguyện  kết tình duyên hai đứa
Đúc thành khuôn kết khối chứa tơ hồng
Anh có em như bếp lửa mùa đông
Xây hạnh phúc ta vun trồng hoa trái
Cho em đẹp và kiêu sa mãi mãi
Đẹp mãi hồn ta, đẹp mãi duyên trời….",hạnh phúc mãi đôi ta,,Hồng Dương,https://poem.tkaraoke.com/49696/.html
"Ngày đầu tuần mà tầm tã những cơn mưa
Đông về chưa sao nghe lòng băng giá?
Nhớ về ba nơi thiên đường xa lạ
Gốc mộ sầu hương cỏ đã xanh rêu.
Một đời ba luôn tần tảo chắc chiu
Nắng sớm đồng trưa những buổi chiều bên mái rạ
Nụ cười của ba hòa vào lời ca của má
Đất nảy mầm - Một lũ trẻ lớn khôn!
Gió thoảng hương đưa bông lúa bồn chồn
Trăng cúi mặt nhớ về người đã khuất
Thấp nén nhang con khấn nguyện một điều duy nhất
Ba hãy yên lòng con hiểu rõ mình sai.
Tuổi trẻ một thời bồng bột nay đổi thay
Nhờ những chặn đòn roi ngày xưa con hờn trách
Con làm ba rồi mới hiểu rõ ràng câu chức trách
Hy sinh một đời ba chẳng đòi lại nghĩa ơn.
( 2015,Viết tặng anh Phạm Thành)",viết cho người đã khuất!,,Khánh Thụy Vy,https://poem.tkaraoke.com/49697/.html
"Nắng rót mật dịu mềm như dải lụa
Giăng hững hờ khắp bờ bãi ven sông
Bước trên đê chợt thảng thốt ngỡ ngàng
Cả cánh đồng miên man vàng  mê mải
...
Anh vẫn giấu trong tim mùa hoa cải
Đã nở vàng hoang hoải bến sông xưa
Lời hẹn thề rớt trong nắng lưa thưa
Mãi đong đưa khi đông về trước ngõ
Mùa đông đó bông cải vàng  theo gió
Bay về trời lẫn trong nắng vàng hanh
Rau răm buồn mùa hoa cải trôi nhanh
Duyên không nợ tình đành chia đôi ngả
Anh dâu bể trên đường tình sỏi đá
Nhớ bẽ bàng mùa hoa cải ven sông
Đêm vẫn mơ hoa phủ kín ngọn ngồng
Vàng lấp lóa trong nắng đông diệu vợi...
...
Chợt bâng khuâng  trước hương đồng gió nội
Hoa cải vàng đùa nắng mật mùa đông
Thoảng trong gió lời của búp cải ngồng
Này... tặng anh... bông cải vàng... mê mải...
Hà Nôi, 11/2015
Trần Thanh Xuân",mùa hoa cải ven sông,,Trần Thanh Xuân,https://poem.tkaraoke.com/49698/.html
"Mùa đông rồi sao mưa rào rơi mãi
Chút tơ lòng ướt sũng nước nhớ mong
Nhớ mùa thu em mê mải nắng hồng
Anh lại cứ mong mưa về vít lối
Để gần em suốt sớm, ngày, trưa, tối
Kệ trời buồn, bỏ mặc đất bơ vơ
Nhện chạnh lòng cứ rút ruột giăng tơ
Con thạch sùng tiếc thèm đành tặc lưỡi
Trời mùa đông trắng mưa rào giăng lưới
Gió bấc buồn tan vào nước trôi đi
Tìm ở đâu lũ chim sẻ, chim ri
Nhớ ướt nhèm lọt qua tay tiếc nuối
Nước mắt mặn như ai pha thêm muối
Cứ lặng thầm chảy ngược mãi vào tim
Em ở đâu để anh mãi kiếm tìm
Cơn mưa rào xóa tan niềm ao ước
Mùa đông rồi sao mưa rào lạc bước
Để tiếng ru nghe đắng lặng cháy lòng
""Ầu ơ trời mưa bong bóng phập phồng...""
Đông buồn phó mặc mưa tuôn nghịch mùa.
Hà Nội, 25/11/2015
Trần Thanh Xuân",mưa nghịch mùa,,Trần Thanh Xuân,https://poem.tkaraoke.com/49699/.html
"ĐỐT LỬA TẠ ƠN NGÀN ĐOÁ HOA HỒNG
Cám ơn cuộc sống đã cho mình
Thật nhiều niềm vui và đau khổ
Hôm nay thiền định lòng thanh tịnh
Giác ngộ tâm hồn hết lô xô
Cám ơn Cha Mẹ cho con đời sống
Cho con hạnh phúc với nhân quần
Đêm nay gió bên đời vọng động
Nhớ thương Cha, thương Mẹ vô ngần
Cám ơn Em người vợ ân cần
Đã chăm sóc thương anh bao ngày tháng
Dẫu giông tố bão bùng vùng sân hận
Tàn phá anh, em cuồng nộ bẽ bàng
Cám ơn tất cả mọi người là ánh sáng
Soi rõ đêm đen, cháy bỏng tâm hồn
Thù hay bạn cũng là vận mạng
Đốt lửa Tạ Ơn ngàn đoá hoa hồng
trần minh hiền orlando ngày 25 tháng 11 năm 2015
CELEBRATION
I always love to express my deepest appreciation
Life is inspiration, you are my affection
Let's talk about our future plan of determination
Everything we can achieve is celebration
trần minh hiền orlando November 25, 2015",đốt lửa tạ ơn ngàn đoá hoa hồng,,Trần Minh Hiền,https://poem.tkaraoke.com/49700/.html
"VĨNH BIỆT
(Cẩn hoạ bài VĨNH BIỆT ANH NGUYỄN SĨ GIANG của thi sĩ Vinh Hồ
Phân ưu cùng VH Sông Hồ cùng phu nhân và tang quyến.)
Nước mắt tuôn tràn tiễn Chú Giang
Bao nhiêu mơ ước đã hoà tan
Chia lìa con cháu còn hiu hắt
Thương mến gia đình vẫn chứa chan
Con trẻ xót xa vừa khổ lụy
Vợ hiền buồn bã đến bàng hoàng
Đớn đau cuộc sống lòng chua xót
Nước mắt tuôn trào tiễn Chú Giang
trần minh hiền orlando ngày 24 tháng 11 năm 2015",vĩnh biệt,,Trần Minh Hiền,https://poem.tkaraoke.com/49701/.html
"VUI LỄ TẠ ƠN MONG AN TOÀN
(Cẩn hoạ bài Mừng Lễ Tạ Ơn của thi sĩ Vinh Hồ)
Ngân lên bài hát của ca đoàn
Ngày lễ Tạ Ơn hãy hợp hoan (1)
Khắp phố dạt dào lời nhạc khúc
Bên trời văng vẳng tiếng hò khoan
Mong cho Nước Pháp thôi đau khổ
Cầu nguyện Hoa Kỳ thoát cực đoan
Ân sủng muôn đời không kể xiết
Ước ao  nhân thế mãi an toàn
trần minh hiền orlando ngày 24 tháng 11 năm 2015
(1) Hợp hoan:
Từ điển Nguyễn Quốc Hùng
Họp mặt chung vui.",vui lễ tạ ơn mong an toàn,,Trần Minh Hiền,https://poem.tkaraoke.com/49702/.html
"++ TÌNH THƠ XUYÊN LỤC ĐIẠ 149 ++
TÌNH LÚA ĐÊM TRĂNG
tác giả : Nhóm SONG THẤT LỤC BÁT XUYÊN LỤC ĐIẠ.
Kỳ Tâm
Gio thu dạt dào con nước lớn
Sông trăng đầy không gợn buồn đau
Ngày xưa mình một nhip cầu
Lúa vàng thơm nức bên nhau trọn đời
Kim Loan
Đêm trăng sáng khắp nơi cùng gặt
Tiẽng hát ai khoan nhặt dịu êm.
Đồng quê gió mát êm đềm,
Trời đông se lạnh tình thêm ngọt ngào
Nguyễn Ngọc René
Đêm huyền diệu trăng cao tỏa sáng
Lúa chờ ai cố ráng vươn mình
Ô kìa thêm những sao hình
Gió lùa lay động ru tình đêm nay
Tran Ngoc Binh
Giơ liềm xén nhanh tay anh cắt
Ngọt lưỡi liềm em gặt hăng say
Lúa vàng thẳng cánh cò bay
Công cày công cấy cho nay được mùa
Kim Loan
Đưa tay hái hoa mua cài tóc,
Nụ cười duyên sáng góc hồn anh.
Thương sao cô gái hiền lành,
Đẹp người đẹp nết xuân xanh dịu dàng.
Sau mùa gặt anh sang hỏi cưới,
Đón dâu về trên dưới mừng vui .
Mẹ cha đẹp dạ tươi cười,
Rễ hiền dâu thảo trọn đời thủy chung.
24/11/2015",++ tình lúa đêm trăng ++ tình thơ xuyên lục điạ 149 ++,,Nhóm SONG THẤT LỤC BÁT XUYÊN LỤC ĐIẠ.,https://poem.tkaraoke.com/49703/.html
"°°°° TRẢ LẠI CHO THU. °°°°
( nđt )
Sương mờ phủ kín giữa sườn non
Lặng lẽ vầng trăng bóng tỏa tròn
Gió thổi cành lay tìm vực thẫm
Mây vờn biển động ngóng tình son
Trèo non chỉ thấy rêu từng đám
Ngược bể nào xem đá những hòn
Rã cánh chim về nơi biển rộng
Mong gì trả lại chút tình con
Phạm Thanh Hà họa cùng
Quyền Hùng Nguyễn
_________
Tinchung Huynh
TẠM GIẤC THU NẰM
(nđt)
Nữa tối ai hoài giọng nỉ non
Buồn đem ám ảnh muội trăng tròn
Bên trời lẩn lút như huyền hoặc,
Cạnh nỗi ôm đồm của sắt son.
Ngả ngược mây chìm trông những đám…
Dòng xuôi bóng tụ ngỡ bao hòn.
Đêm rồi ảo giác khơi tình lộng,
Ở giữa thu sầu giấc mộng con…
------------------
Bài thơ họa: Người Rừng
Tôi về hội bạn chốn miền non
Dưới ánh trăng mơ tỏa bóng tròn
Lấp lánh sao giăng cầu bắc nối
Trong ngần suối nhuộm khối tình son
Lời hay chúc phúc thêm nồng ấm
Cử đẹp vui lòng càng thắm trọn
Để lúc chia xa hoài luyến tiếc
Mong ngày hội ngộ chốn sườn non ...
---------------
Nguyễn Việt Nghĩa
CHỢ TÌNH
Trăng vàng vạn tuổi vẫn trăng non?
Sườn núi bạc lau gió vẩn tròn
Vưc thẳm mây giăng mờ mịt xám
Đèo cao nắng giãi thắm màu son?
Khau Vai gái đẹp soi gương nước
Lũng Cú trai thanh vượt dốc mòn
Gặp mặt cầm tay say đắm đuối
Chia tay hẹn biển với thề non
------------
Hoài Nguyen Thi
Một áng mây khuya phủ trăng mềm!
Cuộc tình đớn đau ai muốn nếm !
Tự rót vào lòng dạ sầu thêm !
Trời khuya heo hút gió vờn mây
Che khuất tình trăng sáng đêm nay!
Chút tình chênh chao là như vậy!
Để lại nơi đây dáng hao gầy !!!!
-----------",trả lại cho thu,,Phạm Thanh Hà,https://poem.tkaraoke.com/49704/.html
