Edited,Title,Genre,Author,URL
".........NGƯỜI QUÊ.......
Thơ : MC Quang Sáng""
(...Chàng trai xứ nghệ...)
Anh chẳng phải mùa thu !
Để hàng đêm ở cạnh em toả thơm mùi hoa sữa,
Anh không là ngọn lửa
Để cho em sưởi tâm hồn khi đông lạnh buốt vai.
Ừ ngoài kia ! Có đào cúc, có mai
Có câu đối trải dài khắp phố nhỏ
Nhưng em ạ ! Mùa xuân anh chẳng có
Chẳng đủ tô hồng son đỏ môi em.
Đừng mong gì chờ ánh nắng bừng lên
Bởi cái mùa hạ mồ hôi chát mặn
Em cũng biết người quê anh nghèo lắm
Giọng khô cằn nói nặng từng câu.
Cả bốn mùa em đi tìm mà chẳng thấy anh đâu
Còn trách bảo sống vô tình bạc nghĩa
Thôi em ạ ! Một chàng trai xứ Nghệ
Vẫn bốn mùa có đi tìm cũng không thể tìm ra.
Thơ Quang Sáng 18/02/2021",người quê,,Lê Sáng,https://poem.tkaraoke.com/111859/.html
"NGÀY TA XA NGƯỜI
Từ khi lạc dấu môi người
Trái tim côi , trái tim côi ...chớm buồn
Mảnh hồn run rẩy cô đơn
Chân trời xô lệch tuổi son nhạt nhòa
Từ khi người đã xa ta
Thu vàng chín rụng thịt da tím bầm
Sương đêm ướt đẫm chỗ nằm
Rong rêu bám mộng duyên ngầm nơi đâu ?
Từ khi âu yếm thay màu
Vòng tay chấm lửng ...vời đau , đau vời
Hắt hơi nhồn nhột tình rơi
Ngôn từ bóng bẩy vạn lời còn không ?
Từ khi cò chẳng tắm sông
Lục bình thuở ấy nghênh ngông trôi dòng
Người xưa xách gói theo chồng
Bến bờ trong đục khơi dòng tin yêu
Từ khi bìm bịp bỗng kêu
Câu thề nứt nẻ dáng chiều tóp teo
Chùm chiêm bao , những gieo neo
Thời xa vắng , thời mốc meo cuộc tình
Ngày 1/2/2021
Thiên Ân ( Bình Dương )",ngày ta xa người,,Thiên Ân,https://poem.tkaraoke.com/111860/.html
"Sác cô vi hai đã lan tràn
Khắp chốn giờ đây thấy bất an
Dương tính toàn cầu hơn chục triệu
Vong thân sơ lượt chín trăm ngàn
Ra đường e ngại nhiều ngao ngán
Khẩu trang che mặt giá lên đàng
Hổn độn Trung hoa sầu Vũ Hán
Giấc mơ bá chủ đã suy tàn",đại dịch thảm họa,,Trương Nhật Nguyễn,https://poem.tkaraoke.com/111861/.html
"Hoa lòng thục nữ ngát ngày đêm
Sáng rực ngoài trong nét dẻo mềm
Đón tết an khang đầy rộn rã
Mừng xuân thịnh vượng thật êm đềm
Chị em mẫu mực tương lai thoáng
Con cháu ngoan hiền phúc lộc thêm
Tuổi mới thành công cùng lí tưởng
Hoa lòng thục nữ ngát ngày đêm.
https://xuonghoa.mocgiatrang.net/21757.post
http://jbnguyenhung.vn102.space/?title=tu_i_xuan&more=1&c=1&tb=1&pb=1",tuổi xuân,,JB.Nguyễn Hùng,https://poem.tkaraoke.com/111862/.html
"ĂN VỤNG CỦA CHA TAU
Thơ : MC Quang Sáng""
(...Chàng trai xứ nghệ...)
Khi bựa qua mệ mi nói với tau
Chộ hai đứa trèo rào vô bứt bưởi
Một thằng trên còn một thằng đứng dới
Một đứa quăng một đứa
chụp nhịp nhàng.
Bọn ni khun cơn lông ở ngoài đàng
Trấy cực sây nhưng múi khô khó nót
Cơn trong nương thì cha ôi rành ngọt
Giống ni mua của Lộc Cụt bên Vều.
Tau đang canh coi túi hấn mà trèo
Bì gạch nửa tau đã treo để sặn
Khun kiểu chi tau cũng dằn một trận
Bắt được người thì tau vặn mất răng.
Vọc xu hào mệ mi vại mới xong
Tổ cha hắn dậm nát còn chi nựa
Cả bên tê choa mần hai vạt độ
Trấy non rồi hấn nhổ cả giàn tre.
Mi viết bài đăng lên doạ nó nghe
Đăng trên nhóm con bà Hoè nó lập
Trang nớ đông tau chộ người tấp nập
Kiểu chi đăng nó cụng đọc mi nà.
Tau đang ngồi ngoài chợ sửa bếp ga
Khi túi nấu lửa thoà teo hết ống
Thôi rứa hây ! Mi viết luôn cho nóng
Ghi tựa đề ""ăn vụng của cha tau"".
(Ngày 19/02/2021 _ Rảnh rỗi nhớ tiếng quê Quang Sáng viết vui mong cả nhà đừng chấp kkk)",ăn vụng của cha tau,,Lê Sáng,https://poem.tkaraoke.com/111863/.html
"NỔI LOẠN
Hồi hôm chị bảo quá sai lầm
Mấy gã thi đường nổi loạn đâm
Chửa chết thì mua bùa ngãi ngậm
Còn không hãy bán lũ gia cầm
Trâu bò ngũ tạng dầm trong giấm
Ngựa khỉ nhất tì nhét giữa sâm
Mỗi tối vài viên nhồi rượu tẩm
Ngà say kéo vợ ngủ chung hầm ./.
Lê Cảnh Tiến 19/02/2021.",nổi loạn,,Lê Cảnh Tiến,https://poem.tkaraoke.com/111864/.html
"XUÂN YÊU THƯƠNG !!!
Xuân Yêu Thương về khắp mọi nhà
Chạnh lòng Lữ Khách ở phương xa
Từ khi giả biệt xa Quê Mẹ !
Mỗi độ Xuân sang mắt lệ nhòa !
Xuân Yêu Thương còn mãi trong ta
Dù cuộc đời còn lắm phong ba
Ra đi hẹn ước ngày trở lại
Mơ phút đoàn viên ở Quê Nhà !
Xuân Yêu Thương trong mỗi chúng ta
Cho dù Quê Mẹ ngàn trùng xa
Quê Hương mãi mãi vẫn là nhà
Tình yêu Đất Nước luôn trong ta !
Xuân Yêu Thương về trên xứ lạ
Cùng là Người Việt ở chốn xa
Tìm về Quê củ trong niềm nhớ
Xuân đẹp làm sao những ngày thơ
Xuân Yêu Thương trong những giấc mơ
Nhớ về Quê Mẹ thuở ban sơ
Tình Yêu Học Trò ôi đẹp quá
Một thời hoa mộng viết thành thơ !
Xuân Yêu Thương Ta vẫn mong chờ
Ngày về Quê củ dẫu còn xa ?
'' Nhạn Nam '' vẫn còn sầu '' Én Bắc ''
Hãy vững niềm tin không phôi pha !
Xuân Yêu Thương về với chúng ta
Năm củ đi rồi năm mới qua...
Nhìn về Cố Quốc lòng vương vấn
Mơ ước Xuân sau hiệp một nhà !!!
dang dat HDD 31 - 01 - 2021
Nhân Dịp Mùa Xuân TÂN SỬU 2021 đã sắp đến !...dang dat HDD Chân Thành Chúc Toàn Thể Thành Viên trong Diễn Đàn : TKaraoke và Gia Quyến 1 Năm Mới TÂN SỬU 2021 được Tràn Đầy Niềm Vui Hạnh Phúc & An Khang Thịnh Vượng và Vạn Sự Như Ý !",xuân yêu thương !!!,,Dang Dat,https://poem.tkaraoke.com/111865/.html
"ƯỚC VỌNG ĐẦU XUÂN !!!
Hôm nay Xuân đến Tha Hương
Nhớ Xuân Quê Mẹ Lòng Thương dạt dào
Thương Quê Nhớ Nước làm sao ?
Mong Ngày trở lại ! Ta chào đón Xuân
Nối vòng tay lớn xa gần
Từ Nam Trung Bắc Tình thân Kiều Bào
Cho Đời Dân bớt lao đao
Đoàn Người Lữ Khách đón chào Quê Hương !
Mơ Mùa Xuân Mới Yêu Thương
Đồng Quê Thành Thị Phố Phường Hoan Ca
Niềm Vui Hạnh Phúc Mọi Nhà
Đón Xuân Quê Mẹ Trẻ Già Đồng Hương !
Cùng nhau hội ngộ Trùng Dương ...
Đắp xây Nước Việt hùng cường Ấm No
Quê Hương Hạnh Phúc Tự Do
Là điều ước nguyện xin cho Dân mình !
Trời Nam ló dạng Bình Minh
Ước mơ trở lại Gia Đình Đoàn Viên !!!
dang dat HDD",ước vọng đầu xuân !!!,,Dang Dat,https://poem.tkaraoke.com/111866/.html
"MỘNG NGÀY XUÂN !!!
Xuân đã đến rồi đi nơi Đất Khách
Tết ỡ Xứ Người buồn lắm Em ơi !
Nỗi Cô Đơn luôn canh cánh trong lòng
Khi nhìn lại Tóc phai màu Năm Tháng !
Em còn nhớ mùa Xuân ở Quê Hương
Thuở Đôi Ta sánh bước những con đường
Tay trong tay Mình mơ bao Mộng Ước ?
Ước thật nhiều nhưng chẳng được bao nhiêu !
Ngày chia xa Em nước mắt Xuân Thì
Dòng Dư Lệ Em khóc tiễn Người đi
Anh hứa rằng dù Tình xa Vạn Lý !
Vẫn nguyện Lòng chung thủy Dạ khắc ghi !
Nhưng than ơi ! bao Năm Trời cách trở
Mộng Tương Phùng chỉ còn trong Giấc Mơ
Ba Mươi Năm Tình Ta trong nhung nhớ
Nhớ Em nhiều Anh dệt mộng thành Thơ ...
Bài Thơ Tình Anh viết thuở ban sơ
Để tặng Em ! Người Yêu nhỏ đợi chờ
Đến bây giờ vài trăm bài Thơ viết
Gởi về Em sưởi ấm nỗi Mong Chờ !
Có một ngày Anh sẽ về Quê Hương
Để cùng Em ! Mình dệt mộng Yêu đương
Vui Hạnh Ngộ ! như '' Châu Về Hiệp Phố ''
Chờ Em nhé ! Ta nối lại Tơ Vương !!!
dang dat HDD",mộng ngày xuân !!!,,Dang Dat,https://poem.tkaraoke.com/111867/.html
"XUÂN HẸN ƯỚC !!!
Lại một mùa Xuân trên Đất Khách
Thời gian vun vút bóng câu qua
Tháng Năm chồng chất đời Viễn Xứ
Lòng luôn nhớ Xuân thuở Quê Nhà !
Tay trong tay bước Nàng e ấp
Ước vọng thật nhiều thuở vào Yêu
Tình Yêu đầu đời ôi đẹp quá
Một thời hoa mộng của Đôi Ta !
Ba mươi mùa Xuân đã trôi qua
Mỗi lần Tết đến buồn diết da !
Xuân đến Xuân đi Xuân lại đến
Biết đến bao giờ Ta gặp Ta ?...
Giờ còn cách trở xa xôi quá
Mùa Xuân Hẹn Ước của Đôi Ta
Vẫn còn ấp ũ trong tiềm thức
Hay đã phai tàn nơi Xứ Xa ?
Lòng lại hỏi lòng bao Năm qua
Thời gian thử thách của Đôi Ta
Biết Người Năm Củ còn mong đợi ?
Hay đã quên Người ở Phương Xa !!!
dang dat HDD 30 - 01 - 2021",xuân hẹn ước !!!,,Dang Dat,https://poem.tkaraoke.com/111868/.html
