Edited,Title,Genre,Author,URL
"KỈ NIỆM VỀ THĂM
Ta ngồi với kỉ niệm xưa
Đu trong làn gió đong đưa để tìm
Dòng sông mải chiếu đoạn phim
Trời xanh, mây trắng… tiếng chim dịch lời
Đuổi theo phía của nụ cười
Mụ mê một nửa cuộc đời của nhau
Tóc thề vội bước về đâu
Làm ta lạc ở phía sau kiệu hồng
Vui trời đùa nghịch bão giông
Đôi ba hạt bụi thương lòng mắt ai
Lãng du mãi chẳng hoài phai
Nhiều khi dậy sóng khôi hài lắm cơ
Khóc - cười cũng viết vào thơ
Run run rẩy rẩy thẫn thờ ngày xưa…
23-07-2021
Nguyên Hữu",kỉ niệm về thăm,,Nguyên Hữu,https://poem.tkaraoke.com/114065/.html
"Hạnh phúc nơi đâu? Là ai?
Bến bờ xa, em chờ, một sớm mai
Đò chiều lặng lẽ bến sông
Ngọn đèn nào sáng soi đêm đông
Chờ chi em, chuyến đò hồng
Ai đưa em cập bến bờ hạnh phúc?
Lênh đênh mãi em tự lái đò
Đời chèo chống gồng bão giông
Một ngày xuân, cả đời không yêu
Đêm trắng thời những ngày xanh ?
Thôi thì em
Một thuyền
Một  mái chèo
chẳng chờ ai
Chẳng để nước chảy bèo trôi
Bến bờ nào đón nhịp em đưa?
(tặng cô Yến - chiều mưa buồn 23/07/2021)",lênh đênh phận buồn,,Ngọc KTS,https://poem.tkaraoke.com/114066/.html
"NÀY EM YÊU DẤU TUYỆT VỜI
Này em yêu dấu tuyệt vời
Mình cứ yêu nhau em nhé
Dẫu cho cuộc đời vơi vợi
Mình cùng đi dưới hàng me
Này em yêu dấu nắng hè
Cho anh hạnh phúc khổ đau
Em là hoàng hôn mới mẻ
Em là bình minh sắc màu
Này em yêu dấu nhiệm mầu
Cho anh dạt dào ánh sáng
Ơn em ngàn đời hiền hậu
Cho anh hung dữ ngang tàn
Này em yêu dấu huy hoàng
Cho anh ngai ngùng ngớ ngẩn
Ngày tháng tơi bời hữu hạn
Em là sóng sánh hồng ân
Trần Minh Hiền Orlando ngày 23 tháng 7 năm 2021",này em yêu dấu tuyệt vời,,Trần Minh Hiền,https://poem.tkaraoke.com/114067/.html
"DỊCH QUẬY CỐ HƯƠNG
Dịch dữ lan vòng thảm Cố Hương
Dìm hy vọng tới nghẽn trăm đường
Dòng sông phẳng lặng chờ bao hướng
Dãy phố im lìm hẹn đủ phương
Dẫu cảnh nguy cùng mai mốt vượng
Dù trong khổ tận mỗi hôm tường
Dân bình tĩnh, bảo đành chung gượng
Dủ ngãng thêm dài nặng khó nương.
hoanghoon
23.07.21",dịch quậy cố hương,,Hoanghoon,https://poem.tkaraoke.com/114068/.html
"TRỐN DỊCH
Ta về xóm nhỏ cạnh bên sông
Tất bật hành trang trẻ ẵm bồng
Trốn dịch sờ đai quần thủng rỗng
Theo đường lục ví vải bằng không
Thầm mơ tấn bạc gồng lưng cõng
Thỏa cục vàng to dãn đáy gồng
Tưởng cứ đô thành vơ đẫy bọng
Thua ngày cuốc rẫy chổng đều mông.
hoanghoon
23.07.21",trốn dịch,,Hoanghoon,https://poem.tkaraoke.com/114069/.html
"HÃY ĐỂ TÀN TRÔI
Em hãy mím môi, đừng nói nữa
Những lời ly biệt xé tình tôi
Thà nhìn mây bạc trôi xa thẳm
Hơn để trăng vàng phải rụng rơi...
Còn đâu ngày tháng hồn thương quá
Chiều ngắm hoàng hôn trải ánh tà
Hai quả tim yêu cùng nhịp đập
Giữa bầu êm ả, nhịp ngân nga
Còn đâu những tối bầu êm ả
Kéo ánh sao trời buộc gió mây
Trôi giữa không gian về diệu vợi
Hồn yêu dào dạt, thấm men say
Em từng e thẹn nói yêu tôi
Tình ái những ngày ấp ủ nôi
Tôi cũng yêu ai, yêu thật đậm
Bao lời chung thủy đọng bờ môi
Thế mà một sớm sợi tơ lòng
Vụt đứt phũ phàng bởi gió giông
Nứt trái sầu đau, rò rỉ máu
Rồi khô đóng cứng giữa trời đông
Tôi biết tình tôi đã nát tan
Nhưng ai đừng nỡ xoá trăng thanh
Vì nơi tít tận bầu xa vợi
Hồn ái ngày xưa đã vượt tầng
Em cứ quên đi, đừng nói nữa
Vì đâu còn mật ướt mềm môi
Thời gian rồi cũng chìm quên lãng
Những áng mây buồn vẫn phải trôi.
Tháng 8/2016
Nhất Lang
(Nguyễn Thành Sáng)
Đường link Tập Thơ Chọn Lọc
của Nhất Lang (Nguyễn Thành Sáng)
và đang tăng bài dần.
https://www.daovien.net/t14267-topic",hãy để tàn trôi.,,Nhất Lang (Nguyễn Thành Sáng),https://poem.tkaraoke.com/114070/.html
"LÂU LÂU
Xuân mãn hèn chi tóc rối màu
Ẩm ờ mà vậy dễ quên đâu...
Lạch khe rờ rẫm niu bờ cạn
Mom suối lượn lờ tụt hố sâu
Ngoáy ngoáy hang hùm day khúc ruột
Khều khều hẻm hẹ lẹm mày râu
Ước điều giá cứ như... Xưa lại !
Thèm được... Ấy à! Gắng chút lâu...
Hàn Yên Tử. 21/7/2021",lâu lâu,,Trần Đại Hưng (Hàn Yên Tử),https://poem.tkaraoke.com/114071/.html
"Ngôi nhà cũ, những con đường quen cũ
Xóm làng xưa, đồng ruộng những bờ đê
Con đò nhỏ, dòng sông ngày mưa lũ
Tiếng ve kêu, hoa phượng nở mùa hè
Giếng nước cũ, ngày gió Lào bỏng rát
Người xếp hàng gánh nước hát âm vang
Những quả thị mùa thu rơi bầm nát
Hôm chợ Hàu nhiều cá, các làng sang
Trò chơi cũ giờ còn ai chơi nữa
Quả gáo già ai nhặt nữa hay không
Ai đi bắt chim về nuôi trước cửa
Thả cánh diều tiếng sáo hát bên sông
Con sông ấy, đò đưa người ra trận
Người trên bờ, nước mắt chảy thành sông
Ngày chờ đợi thời gian dài vô tận
Đêm một mình, đêm cũng hoá mùa đông
Những bài hát ngàn năm còn hát mãi
Buổi trưa hè mẹ ru giấc em thơ
Bao vất vả mẹ cha không quản ngại
Đã nuôi con lớn mãi đến bây giờ
Lớp học cũ ngày xưa còn ai nhớ
Chiếc áo nâu sờn mặc cả bốn mùa
Những kỷ niệm sao nồng nàn một thuở
Mong tết về khoe áo mẹ vừa mua
Tháng ba đến, những ngày mùa giáp hạt
Cha mẹ lo mòn mỏi suốt một đời
Những lúc ấy ta ước là câu hát
Mang mùa về hạnh phúc trải muôn nơi
Năm thắng cũ lòng ta sao quên nổi
Những thầy cô, bè bạn, những người thân
Khuôn mặt cũ ngày xưa như nhắn hỏi
Chuyện buồn vui năm tháng những phong trần.",miền ký ức,,Tạ Thăng Hùng,https://poem.tkaraoke.com/114072/.html
"BÊN Ô CỬA NHỎ
Bên ô cửa nhỏ cuộc đời
Một luồng gió lạ hôn môi mê người
Ta thương em , nở nụ cười
Lòng nhen nhóm lửa cháy ngời niềm tin
Bên ô cửa nhỏ vô tình
Đánh rơi khoảnh khắc rung rinh bến lòng
Nắng mưa mệt mỏi bên song
Nuông chiều va vấp bão giông lối gầy
Bên ô cửa nhỏ ngồi say
Tương tư chiếc lá bên ngoài đong đưa
Chiều chiều gờn gợn bóng xưa
Đắm chìm quên lãng dư thừa nơi nao ?
Bên ô cửa nhỏ chôn sâu
Trăm con bướm mộng rơi vào không gian
Hương li tan , hương li tan ...
Gặm mòn kỉ niệm bờ hoang ngõ lầy
Buông chi hết tiếng thở dài
Trăm năm chẵn , lẻ đọa đày mất nhau
Ngày 28/6/2021
Thiên Ân ( Bình Dương )",bên ô cửa nhỏ,,Thiên Ân,https://poem.tkaraoke.com/114073/.html
"Đêm nhớ Anh, trăng tròn soi bóng .
Ai tương tư  ?   tiềm  kiếm tâm  tình!
Nhìn ánh trăng ,  êm đềm  khúc nhạc .
Điệu buồn buồn ,  Bậu ở cuối sông  !
Nước lớn ròng gió lay cành lá  !
Anh đầu sông , triền lá rơi đầy  !
Gió .......  Gió dập  dềnh  mưa giăng lối  !
Con  đường  trơn ,  cầu nhịp đông đưa .
Chiều ni sống nước,  chao  sương khói  !
Phớt phơ hoa tím nở,  Nhớ Anh  !
Friday,  July 23/2021",{tl} đêm nhớ anh !,,Gió .....,https://poem.tkaraoke.com/114074/.html
